lex	Str	vowels
yéizʌ̏	CVVCV̈	eië
yɛ̏	CV	ɛ
yɛ́	CV	ɛ
yɛ̄an	CVVC	ɛa
yɛ̀ɛ̂	CVV	ɛɛ
yɛ̏ɛdhɤ̄	CVVCV̈	ɛɛö
yɛ̄ɛn	CVVC	ɛɛ
yɛ̄ɛntàabhȁ	CVVCCVVCV	ɛɛaaa
yɛ́in	CVVC	ɛi
yɛ̏iŋzʌ̏	CVVCCCV̈	ɛië
yɛ́lɯ́	CVCV̈	ɛü
yɛ́sɯ̏	CVCV̈	ɛü
yɛ́tȁdhɛ	CVCVCV	ɛaɛ
yɛ̏tȁwɔ̀ɔ̏	CVCVwVV	ɛawɔɔ
yɛ̀ɯ	CVV̈	ɛü
yī	CV	i
yī	CV	i
yī	CV	i
yī	CV	i
yī	CV	i
yí	CV	i
yí	CV	i
yí	CV	i
yï	CV	i
yî	CV	i
yìʌ̄	CVV̈	ië
yìʌ̂	CVV̈	ië
yīʌ	CVV̈	ië
yīʌ	CVV̈	ië
yīʌ̏	CVV̈	ië
yīʌ̏	CVV̈	ië
yīʌ̏	CVV̈	ië
yíʌ	CVV̈	ië
yíʌ̏	‘CVV̈	‘ië
yíʌ̏	CVV̈	ië
yíʌʌ	CVV̈V̈	iëë
yíʌ̏ʌn	CVV̈V̈C	iëë
yíʌ̈bīɤ	CVV̈CVV̈	iëiö
yíʌ̈bhȁn	CVV̈CV	iëa
yíʌ̈bhɒ̀ɒ̄	CVV̈CVV	iëaɔ
yíʌ̈pȁ	CVV̈CV	iëa
yíblɯ̏bhɛ̏n	CVCCV̈CV	iüɛ
yíbhlétée	CVCCVCVV	ieee
yíbhɯ̄nkɔ̏ɔ	CVCV̈CVV	iüɔɔ
yíbhɯ̄nvɛ́dhɛ̏	CVCV̈vVCV	iüvɛɛ
yídō	CVCV	io
yīdōʌ	CVCVV̈	ioë
yídhʌ́ngā	CVCV̈CV	iëa
yídhē	CVCV	ie
yídhìān	CVCVV	iia
yīɛn	CVVC	iɛ
yīɛn	CVVC	iɛ
yígā	CVCV	ia
yíglōopíɤdhɛ̏	CVCCVVCVV̈CV	iooiöɛ
yíglȕ	CVCCV	iu
yígɔ̏	CVCV	iɔ
yígɔ̏	CVCV	iɔ
yígbā	CVCCV	ia
yīgbȁnwȍ	CVCCVCwV	iawo
yȉisīʌ	CVVCVV̈	iiië
yīká	CVCV	ia
yíkȁbhɛ̄dhʌ̏nwȕn	CVCVCCVCV̈wVC	iaɛëwu
yíkɔ̏dhʌ́n	CVCVCV̈	iɔë
yíkpóŋ	CVCCVCC	io
yíkpóŋdhiɤ	CVCCVCCCVV̈	ioiö
yíkpɤ̄	CVCCV̈	iö
yīŋ̏	CVCC	i
yīŋ{yī}-dhȕn	CVCC {CV} CV	i {i} u
yīɤ	CVV̈	iö
yīɤ	CVV̈	iö
yīɤ	CVV̈	iö
yípíɤ	CVCVV̈	iiö
yípíɤbhȁn	CVCVV̈CV	iiöa
yípúʌ	CVCVV̈	iuë
yípúu	CVCVV	iuu
yísɛ́ɛ̈n	CVCVVC	iɛɛ
yítȁ	CVCV	ia
yítée	CVCVV	iee
yítɔ́ɔ̈bhàadhɛ̏	CVCVVCVVCV	iɔɔaaɛ
yítɔ́ɯ̈	CVCVV̈	iɔü
yívà	CVvV	iva
yízīʌnsɛ́gɔ̏	CVCVV̈CCVCV	iiëɛɔ
yízȕɤdhɛ	CVCVV̈CV	iuöɛ
yȍŋ	CVCC	o
yóo	CVV	oo
yóo	CVV	oo
yóo	CVV	oo
yɔ̏	CV	ɔ
yɔ̄	CV	ɔ
yɔ́	CV	ɔ
yɔ̄âkʌ̏bhɛ̏n	CVVCV̈CV	ɔaëɛ
yɔ́n	CVC	ɔ
yɔ́n	CVC	ɔ
yɔ́ngā	CVCCV	ɔa
yɔ́ngɔ̏	CVCCV	ɔɔ
yɔ́ŋ	CVCC	ɔ
yɔ̀ɔ̄	CVV	ɔɔ
yɔ̀ɔ̂	CVV	ɔɔ
yɔ́ɔ	CVV	ɔɔ
yɔ́ɔ	CVV	ɔɔ
yɔ̏ɔbhɛ̄ân	CVVCCVV	ɔɔɛa
yɔ̀ɔ̄dhɛ̏	CVVCV	ɔɔɛ
yɔ̀ɔn	CVVC	ɔɔ
yɔ̀ɔn	CVVC	ɔɔ
yɔ́ɔ̈n	CVVC	ɔɔ
yɔ́sɯ̏	CVCV̈	ɔü
yɔ́sɯ̏zʌ̏	CVCV̈CV̈	ɔüë
yɔ̄zlȁ	CVCCV	ɔa
yɤ̏	CV̈	ö
yɤ̏	CV̈	ö
yɤ̏	CV̈	ö
yɤ̀	CV̈	ö
yɤ̄	CV̈	ö
yɤ̄	CV̈	ö
yɤ̄	CV̈	ö
yɤ́	CV̈	ö
yɤ́	CV̈	ö
yɤ̈	CV̈	ö
yɤ̏ká	CV̈CV	öa
yɤ̄ká	CV̈CV	öa
yɤ̏kóʌdhɛ̏	CV̈CVV̈CV	öoëɛ
yɤ̏sōŋkʌ̄bhɛ̏n	CV̈CVCCCV̈CV	öoëɛ
yɤ̏zlūdhʌdhíɤ	CV̈CCVCV̈CVV̈	öuëiö
yúa	CVV	ua
yúadhɛ	CVVCV	uaɛ
yúadhɛ̏n	CVVCCV	uaɛ
yūan	CVVC	ua
yúazʌ̏	CVVCV̈	uaë
yuʌn	CVV̈C	uë
yúʌnyȕʌn	CVV̈CCVV̈C	uëuë
yūn	CVC	u
yūn	CVC	u
yūngɔ̄n	CVCCVC	uɔ
yūngbɔ̄	CVCCCV	uɔ
yúŋ̈	CVCC	u
yúŋ̈	CVCCC	u
yùɤ	CVV̈	uö
yūɤ	CVV̈	uö
yúɤ̈	CVV̈	uö
yúɤ̈	CVV̈	uö
yúɤgā	CVV̈CV	uöa
Yúu	YVV	Yuu
yúü	CVV	uu
yūun	CVVC	uu
yúün	CVVC	uu
yūungā	CVVCCV	uua
zȁ	CV	a
zā	CV	a
zàā	CVV	aa
zāâ	CVV	aa
záa	CVV	aa
zȁan	CVVC	aa
zȁan	CVVC	aa
zàanzán	CVVCCVC	aaa
zádhɤ̄	CVCV̈	aö
zàgā	CVCV	aa
zán	CVC	a
zàŋ	CVCC	a
záŋ	CVCC	a
zázádhɤ̄	CVCVCV̈	aaö
zɒ́ɒ	CVV	aɔ
zɒ̄ɒdhe	CVVCV	aɔe
zɒ̏ɒdhɤ̄n	CVVCCV̈	aɔö
-zʌ̏	CV̈	ë
-zʌ̏	CV̈	ë
zʌ̄	CV̈	ë
zʌ̄ʌ	CV̈V̈	ëë
zʌ́ʌdhē	CV̈V̈CV	ëëe
zʌ̄n	CV̈C	ë
zʌ̄ngā	CV̈CCV	ëa
zʌ̄ngā	CV̈CCV	ëa
zʌ̄nzʌ̏	CV̈CCV̈	ëë
zʌ̄nzʌ̄nzʌ̏	CV̈CCV̈CCV̈	ëëë
zʌ̄ŋgʌ̄	CV̈CCCV̈	ëë
zʌ̄ŋgbʌ̄	CV̈CCCCV̈	ëë
zʌ́ŋzʌ̏	CV̈CCCV̈	ëë
zʌ́ŋzʌ̏	CV̈CCCV̈	ëë
zʌ̄ɯ	CV̈V̈	ëü
zʌ̄ɯ	CV̈V̈	ëü
zē	CV	e
zéëwɔ́yɛ́gbàāngɯ́	CVVwVCVCCVVCCV̈	eewɔɛaaü
zēlɯ̏	CVCV̈	eü
zȅŋgbȅkɔ̏dɔ̄dhagɔ̏	CVCCCCVCVCVCVCV	eeɔɔaɔ
zètūbhādhen	CVCVCCVCV	euae
zètūbhādhengā	CVCVCCVCVCV	euaea
zɛ̀	CV	ɛ
zɛ́	CV	ɛ
zɛ̄ɛ̂n	CVVC	ɛɛ
zɛ̀gā	CVCV	ɛa
zɛ̀ī	CVV	ɛi
zɛ̄n	CVC	ɛ
zɛ̄npʌ̄	CVCCV̈	ɛë
zɛ́nzɛ̏n	CVCCVC	ɛɛ
zíaa	CVVV	iaa
zīâdhɤn	CVVCCV̈	iaö
zȉan	CVVC	ia
zìān	CVVC	ia
zīan	CVVC	ia
zīangā	CVVCCV	iaa
zīangblȍo	CVVCCCCVV	iaoo
zīangblȍogā	CVVCCCCVVCV	iaooa
zìʌ̄	CVV̈	ië
zīʌ	CVV̈	ië
zīʌ và	CVV̈ vV	ië va
zīʌn	CVV̈C	ië
zīʌn	CVV̈C	ië
zȉgā	CVCV	ia
zȉi	CVV	ii
zìi	CVV	ii
zīi	CVV	ii
zíi	CVV	ii
zȉiŋ dhā	CVVCC CV	ii a
zȉisɯ̏	CVVCV̈	iiü
zȉizʌ̏	CVVCV̈	iië
zīizīi{dhȕ}n	CVVCVV {CV}	iiii {u}
zīnpʌ̄	CVCCV̈	ië
zȉoo	CVVV	ioo
zȉozʌ̄bhɛ̏n	CVVCV̈CV	ioëɛ
zȉɔlógɔ̀ɔ̄	CVVCVCVV	iɔoɔɔ
zīɔn	CVVC	iɔ
zīɤ	CVV̈	iö
zíɤ̏	CVV̈	iö
zíɤ̈ và	CVV̈ vV	iö va
zíɤ̏zʌ̏-dhȕn	CVV̈CV̈ CV	iöë u
zȉɤzíɤ	CVV̈CVV̈	iöiö
zīzī{dhȕ}n	CVCV {CV}	ii {u}
zláä	CCVV	aa
zláädhʌ́dhēn	CCVVCV̈CV	aaëe
zláädhʌ́dhēnzʌ̏	CCVVCV̈CVCV̈	aaëeë
zláädhēzʌ̏	CCVVCVCV̈	aaeë
zláägɔ̄ɔ̂nzʌ̏	CCVVCVVCCV̈	aaɔɔë
zlȁbhɔnyāa	CCVCCVCVV	aɔaa
zlȁkpɔ̀ɔ	CCVCCVV	aɔɔ
Zlȁn	ZCVC	Za
zlȁnwȍpɤ̄bhɛ̏n	CCVCwVCV̈CV	awoöɛ
zlɒ̀ɒ	CCVV	aɔ
zlòa	CCVV	oa
zlȍo	CCVV	oo
zlòo	CCVV	oo
zlòô	CCVV	oo
zlɔ̀a	CCVV CV̈	ɔa ü
zlɔ̄a	CCVV	ɔa
zlɔ̀azʌ̏	CCVVCV̈	ɔaë
zlɔ̏ɔ	CCVV	ɔɔ
zlɤ̀ɤ	CCV̈V̈	öö
zlɤ̄ɤ	CCV̈V̈	öö
zlɤ̀ɤdhɛ̏	CCV̈V̈CV	ööɛ
zlɤ̀ɤdhɛ̏	CCV̈V̈CV	ööɛ
zlū	CCV	u
zlú	CCV	u
zlùa	CCVV CV̈	ua ü
zlūa	CCVV	ua
zlūa	CCVV	ua
zlūɛî	CCVVV	uɛi
zlúsɔ̄	CCVCV	uɔ
zlùu	CCVV	uu
zȍ	CV	o
zō	CV	o
zō	CV	o
zòʌ̄kpʌ́ɯbȉzʌ̏	CVV̈CCV̈V̈CVCV̈	oëëüië
zȍdhɛ	CVCV	oɛ
zódhɤ̄	CVCV̈	oö
zȍgɔ́dhēn	CVCVCCV	oɔe
zȍgbȁdhēn	CVCCVCCV	oae
zȍgbéëdhɛ̏	CVCCVVCV	oeeɛ
zòŋ̂	CVCC	o
zȍo	CVV	oo
zòō	CVV	oo
zóo	CVV	oo
zóoyǣæn	CVVCVVC	ooɛa
zȍtádhē	CVCVCV	oae
zózódhɤ̄	CVCVCV̈	ooö
zōzōzʌ̏	CVCVCV̈	ooë
zɔ̄	CV	ɔ
zɔ́	CV	ɔ
zɔ́	CV	ɔ
zɔ̀ān	CVVC	ɔa
zɔ̀ān	CVVC	ɔa
zɔ́gā	CVCV	ɔa
zɔ̏n	CVC	ɔ
zɔ̏n	CVC	ɔ
zɔ̄n	CVC	ɔ
zɔ̀ŋgā	CVCCCCV	ɔa
zɔ̏ɔ	CVV	ɔɔ
zɔ̀ɔ	CVV	ɔɔ
zɔ̄ɔ	CVV	ɔɔ
zɔ́ɔ̈	CVV	ɔɔ
zɔ̏ɔdhɤ̄n	CVVCCV̈	ɔɔö
zɔ̀ɔn	CVVC	ɔɔ
zɔ̀ɔngā	CVVCCV	ɔɔa
zɔ́ü	CVV	ɔu
zɤ̄	CV̈	ö
zɤ̀ŋ̄	CV̈CC	ö
zɤ̀ŋ̄ bɛ̏n	CV̈CC CVC	ö ɛ
zɤ́ɯ	CV̈V̈	öü
zūʌn	CVV̈C	uë
zúɛdhɤ̄	CVVCV̈	uɛö
zȕgā	CVCV	ua
zūngblʌ̀ʌ̄	CVCCCCV̈V̈	uëë
zȕɤ	CVV̈	uö
zȕɤ	CVV̈	uö
zùɤ̄	CVV̈	uö
zūɤ	CVV̈	uö
zùɤ̄bȅ	CVV̈CV	uöe
zȕɤdɔ̄bhɛ̏n	CVV̈CVCV	uöɔɛ
zùɤ̄gā	CVV̈CV	uöa
zùɤ̄gʌ̄n	CVV̈CV̈C	uöë
zùɤ̄glúdhī	CVV̈CCVCV	uöui
zùɤ̄kȕnsīâdhe	CVV̈CVCCVVCV	uöuiae
zùɤ̄píɤyāabhɛ̏n	CVV̈CVV̈CVVCV	uöiöaaɛ
zùɤ̄púudhɛ̏	CVV̈CVVCV	uöuuɛ
zùɤ̄síɤ̈dhɛ̏	CVV̈CVV̈CV	uöiöɛ
zùɤtȍzlɤ̀ɤdhē	CVV̈CVCCV̈V̈CV	uöoööe
zùɤ̄vɔ̄ŋ	CVV̈vVCC	uövɔ
zùɤ̄wàādhūdhen	CVV̈wVVCCVCV	uöwaaue
zùɤ̄yāabhɛ̏n	CVV̈CVVCV	uöaaɛ
zùɤ̄yȁglúu	CVV̈CVCCVV	uöauu
zúsɯ̏	CVCV̈	uü
zȕu	CVV	uu
zȕugā	CVVCV	uua
zúuzȕ	CVVCV	uuu
zúzáa	CVCVV	uaa
zɯ̏	CV̈	ü
zɯ̄	CV̈	ü
zɯ́	CV̈	ü
zɯ̄dhí	CV̈CV	üi
zɯ̄gȍo	CV̈CVV	üoo
zɯ̄kpɤ̄	CV̈CCV̈	üö
zɯ̏tódhɛ̏	CV̈CVCV	üoɛ
zɯ̄ɯ	CV̈V̈	üü
