id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
1646	kwɛ̄ɛdhɛ̏	kwɛɛdhɛ	[kwɛɛ -dhɛ]				Human Part	GA, MA, KD, LJ	n	сущ				23/Oct/2008						
1647	kwɛ́ɛ̂dhɛ̏n	'kwɛɛndhɛ												22/Aug/2007						
1648	kwɛ̄ɛzʌ̏	kwɛɛzë	[kwɛɛ- -zë]					LJ	adj	прил				23/Oct/2008						
1649	kwɛ́i	'kwɛi			ɛi ~ ɛɛ		Artifact Object Building	LJ, DJ, GJ	n	сущ	<*door>			04/Sep/2000						
1650	kwɛ́n yȁn	'kwɛn -yan					Artifact Object Building	LJ	n	сущ				29/Nov/2008						
1651	kwī	kwi					Living Part Covering	MG, LJ, GJ, SB, OD	n	сущ	<*skin>			04/Sep/2000						
1652	kwí	'kwi					Human	LJ, DJ, SB	n	сущ	<*white man>			29/Nov/2008						
1653	kwí plɤ̀ɤ	'kwi =plöö						DJ, LJ, BE	loc.n	сущ				23/Oct/2008						
1654	kwí plɤ̀ɤ dhɛ̏	'kwi =plöö -dhɛ						DJ, LJ, BE	loc.n	сущ				23/Oct/2008						
1655	kwí pɤ và	'kwi pö- =va						DJ, LJ	n	сущ				23/Oct/2008						
1656	kwí tɔ̏	'kwi -tɔ					Bird	DJ, LJ, LP	n	сущ				23/Oct/2008						
1657	kwíâ bhɔ̏n	'kwia- -mɔ			ia ~ iʌ		Animal	LJ	n	сущ				04/Sep/2000						
1658	kwíʌ̂dhóo	'kwiëdhoo	['kwië- 'dhoo]		iʌ		Natural Object Comestible	LJ	n	сущ				22/Aug/2007						
1659	kwīgā	kwiga	[kwi ga]				Magics	DJ, KB, LJ	n	сущ				07/Dec/2008						
1660	kwīgā kʌ̄ bhɛ̏n	kwiga kë -mɛ							n	сущ				23/Oct/2008						
1661	kwīgā kɔ̀ɔn bhɛ̏n	kwiga =kɔɔn -mɛ							n	сущ				23/Oct/2008						
1662	kwlá	'kwla				CLV	Living Part		n	сущ				18/Nov/2008						
1663	kwlá téezʌ̏	'kwla 'teezë					Living Part	GA, KD	n	сущ				18/Nov/2008						
1664	kwlàȁ	=kwlaa-			aa	CLVV	Living Part	GA, MA	n	сущ				09/Jan/2009						
1665	Kwlæ̀ǣdhɤn	=Kwlɛandhö	[=kwlɛan' dhö]		ɛ̰a̰	CLVÃVÃ		MB, LJ	loc.n	сущ				22/Jun/2010						
1666	kwlɛ̀ɛ̏	=kwlɛɛ-				CLVV ~ CVV								22/Aug/2007						
1667	là	=la							n	сущ				29/Nov/2008						
1668	làā	=laa'			aa		Animal	BE, YA, SE, GJ, LJ	n	сущ	<*lion>			14/Dec/2008	lion	lion	лев			
1669	làbáŋ̂	=labang	[=lang 'baa-]		aa ~ aŋ		Artifact Object	GJ, LJ	n	сущ				22/Aug/2007						
1670	lagīdhēn	=lagine	[=la gi ne]					LJ	n	сущ				15/Feb/2010						
1671	làkédhe	=lakedhe	[=la 'ke 'dhe]				Artifact Object	LJ	n	сущ				22/Aug/2007						
1672	lȁn	-lan				CV-AF		LJ	v	гл				22/Jan/2011						
1673	làn	=lan						BE, LJ	n	сущ				29/Nov/2008						
1674	lan	lan-					Natural Object Astronomy	DJ, --LJ	n	сущ				23/Jan/2011						
1675	lan kɔ́	lan- 'kɔ						LJ	n	сущ	<sun-house>	<ñîëíöå-äîì>		23/Oct/2008						
1676	lantra	=lantra	[=lan tra]				Natural Object Comestible	--LJ	n	сущ				15/Feb/2010						
1677	làŋbáâ	=langbaa												23/Oct/2008						
1678	lāŋ	lang-												22/Aug/2007						
1679	lāsó	laso	[la 'so]					LJ	n	сущ				22/Aug/2007						
1680	lɒ̄ɒn	laɔn			ɒ̰ɒ̰		Natural Object Comestible	LJ	n	сущ				30/May/2010						
1681	lǽængǽæ̏n	'lɛangɛa	['lɛan 'gɛa-]		ɛ̰a̰ (wo)		Magics	LP	n	сущ				03/Dec/2008						
1682	lʌ	lë-	1				Property Experience Mental	BE, SB, CE, LJ	n	сущ	<*shame-3>			23/Jan/2011						
1683	lʌ	lë-					Human Part	GA, LJ, KD	n	сущ				01/Dec/2008						
1684	lʌ̏ʌdhɤ̄	-lëëdhö	[-lëë dhö]		ʌʌ			LJ	adv	нар				07/Dec/2008						
1685	lʌ́ʌ̂lʌ̄	'lëëlë	['lëë -lë]		ʌʌ			OD, LJ	adv	нар				07/Dec/2008						
1686	lʌ́ʌ̂nzʌ̏	'lëënzë	['lëën- -zë]		ʌ̰ʌ̰			LJ	adj	прил				29/Nov/2008						
1687	lʌkʌ̄dhʌ̏n	lëkëndhë	[lë- kën -dhë]				Plant	LJ	n	сущ				12/Feb/2010						
1688	lʌkʌ̄dhʌ̏ngā	lëkëndhëga	[lë- kën -dhë ga]				Plant	LJ	n	сущ				29/Nov/2008						
1689	lʌ̏n	-lën						BE, DJ, LJ	n	сущ				29/Nov/2008						
1690	lʌ̄ŋ	lëng						LJ	n	сущ				16/Feb/2010						
1691	lʌ̄ŋgɯ́dhɛ̏	lënggüdhɛ	[lëng 'gü -dhɛ]					SB, LJ	n	сущ				16/Feb/2010						
1692	lʌ̄ŋlʌ̄ŋ	lënglëng						LJ, SB	adv	нар										
1693	lʌ̄ŋ	lënng-												24/Oct/2008						
1694	lʌ́ŋ̂	'lëng-						LJ	n	сущ				23/Jan/2011						
1695	lʌ́ŋ̂dhɛ̏	'lëngdhɛ	['lëng- -dhɛ]					LJ	n	сущ				23/Jan/2011						
1696	lʌzʌ̏	lëzë	[lë- -zë]					SB, OD, LJ	adj	прил				22/Aug/2007						
1697	lɛ́ɛlɛ̏	'lɛɛlɛ	['lɛɛ -lɛ]		ɛɛ			LJ	adj	прил				30/Jan/2009						
1698	lɛ́lɛ́	'lɛlɛ	['lɛ 'lɛ]					LJ, DJ	n	сущ				24/Oct/2008						
1699	lɛ́ŋlɛ̏ŋ	'lɛnglɛng	['lɛng -lɛng]					LJ	adj	прил				29/Nov/2008						
1700	lȍ	-lo				CV-AF/M		SB	v	гл				22/Jan/2011						
1701	lȍ	-lo				CV-AF	BoundedEvent Agentive Physical Purpose	LJ	v	гл				22/Jan/2011						
1702	lòkô	=loko	[=lo 'ko-]				Cookery Comestible	LJ	n	сущ	<b>			29/Nov/2008						
1703	lóŋ	'long						LJ	n	сущ				23/Jan/2011						
1704	lȍo	-loo			oo				n	сущ				23/Jan/2011						
1705	lōo	loo			oo	CVV-MM		LJ	v	гл				22/Jan/2011						
1706	lɔ̀ŋ	=lɔnng					Plant	LJ	n	сущ				29/Nov/2008						
1707	lɔ̀ŋ̏	=lɔng-					Plant	MB, LJ	n	сущ				24/Oct/2008						
1708	lɔ́ɔ̂	'lɔɔ-			ɔɔ		Artifact Object	CE, LJ	n	сущ				29/Nov/2008						
1709	lɔ́ɔ̂fìʌ̄	'lɔɔfië	['lɔɔ- =fië']				Artifact Object	LJ	n	сущ				29/Nov/2008						
1710	lɔ́ɔn	'lɔɔn			ɔ̰ɔ̰		Animal Invertebrate	GA, MA	n	сущ	<*worm-2>			14/Dec/1999						
1711	lɔ̄ɔn lɯ̏	lɔɔn -lü					Plant	LJ	n	сущ				24/Oct/2008						
1712	lɔ̄ɔngā	lɔɔnga	[lɔɔn ga]					LJ	n	сущ				29/Nov/2008						
1713	lɔ̀ɔzʌ̏	=lɔɔzë	[=lɔɔ- -zë]		ɔɔ		Property Condition Physical	LJ	adj	прил				22/Aug/2007						
1714	lɤ̏	-lö				CV-AF		BE, MG, LJ, DJ	v	гл	<*fly, spring (to)-3>			22/Jan/2011						
