id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
934	gɛ̏dhɛn	-gɛndhɛ	[-gɛn -dhɛ]				Human Part	GA, GD	n	сущ				27/Jan/2011						
935	gɛ̏dhɛ́n	-gɛndhɛ	[-gɛn 'dhɛ]				Human Part	GJ, LJ, MG	n	сущ	<pied-feuille>			27/Jan/2011				очень часто употребляется в форме ед.ч. в значении двойственного или  мн.ч., кроме случаев, когда количественное противопоставление необходимо подчеркнуть		
936	gɛ̏dhɛ́nkwɛ̄ɛdhɛ̏	-gɛndhɛkwɛɛdhɛ	[-gɛn 'dhɛ kwɛɛ -dhɛ]				Human Part	LJ	loc.n	сущ				09/Jun/2010				очень часто употребляется в форме ед.ч. в значении двойственного или  мн.ч., кроме случаев, когда количественное противопоставление необходимо подчеркнуть		
937	gɛ́ɛn	'gɛɛn			ḭḭ ~ iŋ		Natural	LJ	n	сущ	<*thorn-2>			29/Nov/2008				очень часто употребляется в форме ед.ч. в значении мн.ч., кроме случаев, когда количественное противопоставление необходимо подчеркнуть		
938	gɛ́iŋ	'gɛing			ɛiŋ		Living Part	GA, MA, LJ	n	сущ				09/Jun/2010						
939	gɛ̏n	-gɛn							n	сущ	<*foot, leg>			27/Jan/2011						
940	gɛ̏ngȁlɯ́	-gɛngalü	[-gɛn -ga 'lü]				Human Part	MG, LJ	n	сущ	<pied-os-bois>			29/Nov/2008						
941	gɛ́ngɛ̏n	'gɛngɛn	['gɛn -gɛn]					LJ	adj	прил				27/Jan/2011						
942	gɛ̏nkpɤ̄ɯdhɛ̏	-gɛnkpöüdhɛ	[-gɛn kpöü -dhɛ]		ɤɯ		Human Part	LJ	loc.n	сущ				30/Jan/2011						
943	gɛ̏nkpɤ̄ɯdhɤ	-gɛnkpöüdhö	[-gɛn kpöü dhö]					LJ						27/Jan/2011						
944	gɛ̏nkwɛ̄ɛdhɛ̏	-gɛnkwɛɛdhɛ	[-gɛn kwɛɛ -dhɛ]				Human Part	GA, KD, LJ	loc.n	сущ				09/Jun/2010						
945	gɛ̏nlȍbhɛ̏n	-gɛnlomɛ	[-gɛn -lo -mɛ]				Human	LJ	n	сущ				05/Oct/2008						
946	gɛ́ŋkȍ	'gɛingko	['gɛing -ko]				Living Part	LJ	n	сущ				27/Jan/2011						
947	gȉ	-gi				CV-AF		MG, LJ, DJ, GJ, SB	v	гл	<*wound-3>			22/Jan/2011						
948	gīȁ	gia-			ia			GJ	dtm					05/Oct/2008	self	même	сам			
949	gīȁgȉa	giagia	[gia- -gia]					LJ, DJ, GJ	adj	прил				29/Jan/2009	true	véritable	истинный			
950	gīȁgȉawō	giagiawo	[gia- -gia wo]					LJ, SB	adv	нар				27/Jan/2011						
951	gȉan	-gian						BE, LJ						27/Jan/2011						
952	gīan	gian			ḭa̰		Animal Insect	BE, GA, MA, LJ, CE	n	сущ				27/Apr/2000						
953	gían	'gian			ḭa̰				adj	прил				27/Jan/2011						
954	gíanzʌ̏	'gianzë	['gian -zë]					GJ, LJ	adj	прил				27/Jan/2011						
955	gídhán	'gina	['gi 'na]		i-a, n		Magics	LJ	n	сущ	<jula>			22/Aug/2007						
956	gíȉ	'gii-			ii		State Condition Manner Physical Medicine	LJ, DJ, BE, SB	n	сущ	<*sufferance-2>			30/Jan/2011						
957	gíin	'giin												27/Jan/2011						
958	gíinzʌ̏	'giinzë	['ging -zë]					LJ	adj	прил				27/Jan/2011						
959	gȉkpɛ́	-gikpɛ	[-gi 'kpɛ]				Animal	YA, SE, GJ, LJ	n	сущ				27/Jan/2011						
960	gíŋ	'ging						LJ						27/Jan/2011						
961	gȉpȉn	-gipin	[-gi -pin]				Medicine	LJ	n	сущ				09/Jan/2009						
962	glá	'gla				CLV-H		LJ	v	гл				01/Feb/2011						
963	glàȁ	=glaa-			aa	CLVV	Plant	EF, LJ, MB, SB, CE, OD	n	сущ	<*oil palm, young>			06/Oct/2008						
964	gláaglȁ	'glaagla	['glaa -gla]		aa	CLVV CLV		LJ	adj	прил				29/Jan/2009						
965	glȁan	-glaan			a̰a̰ (wo)	CLVÃVÃ	Animal	MB, LJ	n	сущ										
966	gláan	'glaan			a̰a̰	CLVÃVÃ	Animal	YA, SE	n	сущ										
967	gládhiɤdhɛ̏	'gladhiödhɛ	['gla 'dhiö -dhɛ]			CLV		LJ	loc.n					01/Feb/2011						
968	gládhiɤsɯ́bhɛ̏n	'gladhiösümɛ	['gla 'dhiö 'sü -mɛ]				Human	LJ	n	сущ				22/Aug/2007						
969	glʌ́ŋglʌ̏ŋ	'glëngglëng	['glëng -glëng]			CLV÷ CLV÷		OD, LJ	adj	прил				29/Jan/2009						
970	glègɔ̏	=glegɔ	[=gle -gɔ]			CLV		LJ	n	сущ				01/Feb/2011						
971	glȅŋ	-gleng				CLV÷	Property Modal	LJ	n	сущ				29/Nov/2008						
972	glȅŋzʌ̏	-glengzë	[-gleng -zë]			CLV÷	Property Modal	LJ	adj	прил				29/Jan/2009						
973	glɛ̏ŋ	-glɛng				CLV÷	Artifact Object	LJ, MB	n	сущ										
974	glȉglȉdhɤ̄	-gliglidhö	[-gli -gli dhö]			CLV CLV		LJ	adv	нар				06/Oct/2008						
975	glìī	=glii'			ii	CLVV-LNAF	BoundedEvent Condition Physical	LJ, DJ	v	гл				22/Jan/2011						
976	glìi	=glii'-			ii	CLVV-LNAF		BE, GJ, LJ	v	гл				22/Jan/2011						
977	glìīsɯ̏	=gliisü	[=glii' -sü]		ii	CLVV-LNAF	BoundedEvent Condition Physical	LJ, DJ	adj	прил				01/Feb/2011						
978	glòo	=gloo			oo	CLVV-LL		LJ, OD	v	гл	<*rest>			01/Feb/2011	take.rest	se.reposer	отдыхать			
979	glòo	=gloo			oo			LJ, OD	n	сущ				01/Feb/2011	rest	repos	отдых			
980	glōo	gloo			oo	CLVV-MM		LJ	v	гл				01/Feb/2011						
981	glɔ̄ŋdʌ̄	glɔngdë	[glɔn dë]			CLVÃ ~ CVN	Bird	--LJ, MB, DJ	n	сущ				30/Jan/2011						
982	glɔ̀ɔ	=glɔɔ			ɔɔ	CLVV-LL		MB, LJ, SB	v	гл				22/Jan/2011	last	durer	длиться			
983	glɔ̄ɔ	glɔɔ			ɔɔ	CLVV	Natural Object Comestible	LJ, DJ, SB	n	сущ	<*banana-3>			01/Feb/2011						
984	glɔ́ɔ	'glɔɔ			ɔɔ	CLVV	Reptile	YA, SE	n	сущ										
985	glɔ́ɔglɔ̏	'glɔɔglɔ	['glɔɔ -glɔ]		ɔɔ	CLVV CLV		MG, LJ, DJ	adj	прил				29/Jan/2009						
986	glɔ́ɔglɔ̏dhɛ	'glɔɔglɔdhɛ	['glɔɔ -glɔ -dhɛ]		ɔɔ			LJ	n	сущ				01/Feb/2011						
987	glɔ̀ɔsɯ̏	=glɔɔsü	[=glɔɔ -sü]					DJ, GJ, OD, LJ	adj	прил				01/Feb/2011						
988	glɔ̀ɔsɯ̏	=glɔɔsü	[=glɔɔ -sü]					GJ, LJ	n	сущ				29/Nov/2008						
989	glɤ̀ɤ	=glöö			ɤɤ	CLVV		LJ	n	сущ				01/Feb/2011						
990	glɤ̀ɤbɔ̀ɔbhɛ̏n	=glööbɔɔmɛ	[=glöö =bɔɔ -mɛ]				Creature	LJ	n	сущ				01/Feb/2011						
991	glȕ	-glu				CLV-AF		LJ, SB	v	гл	<*divide>			02/Feb/2011						
992	glȕ	-glu				CLV		BE, MG, LJ	n	сущ	<*war>			07/Oct/2008						
993	glȕ	-glu				CLV		MG, LJ	n	сущ	<*hole>			07/Oct/2008						
994	glú	'glu			uu ~ u	CLVV ~ CLV	Relation Location	EF, LJ	loc.n	сущ				02/Feb/2011						
995	glúʌ̏kwȉ	'gluëkwi	['gluë- -kwi]		uʌ	CLVV			n	сущ				02/Feb/2011						
996	glȕbhadháâ	-glubhadhaa	[-glu -bha 'dhaa- -pë]					DJ, --LJ	n	сущ				23/Jan/2011						
997	glȕdʌ̄	-gludë	[-glu dë]			CLV	Human Occupation Social Condition	LJ, SB	n	сущ				02/Feb/2011						
998	glȕdhí	-gludhi	[-glu 'dhi]					LJ	n	сущ				07/Oct/2008						
999	glúdhī	'gludhi	['glu dhi]			CLV		LJ	n	сущ				02/Feb/2011						
1000	glùɛīn	=gluɛin'			ṵɛ̰ḭ	CLVVV	BoundedEvent Communication Condition Experience Modal Purpose Social	LJ	n	сущ				23/Jan/2011						
1001	glùɛ̄n	=gluɛn'			ṵɛ̰	CLVÃVÃ		LJ	n	сущ				23/Jan/2011						
1002	glùɛ̄nzʌ̏	=gluɛnzë	[=gluɛn' -zë]			CLVÃVÃ		LJ	adj	прил				02/Feb/2011						
1003	glȕgɔ̄bhɛ̏n	-glugɔnmɛ	[-glu gɔɔn -mɛ]				Human	GJ	n	сущ				30/Jan/2011						
1004	glȕkʌ̄bhɛ̏n	-glukëmɛ	[-glu kë -mɛ]				Human	LJ, GJ	n	сущ				22/Aug/2007						
1005	glȕkpá	-glukpa	[-glu 'kpa]					BE, MG, LJ, DJ	n	сущ				30/Jan/2011						
1006	glȕpíɤpʌ̏	-glupiöpë	[-glu 'piö -pë]					LJ	n	сущ				30/Jan/2011						
1007	glúsʌ̏	'glusë	['glu -së]					LJ, GJ	n	сущ				30/Jan/2011						
1008	glúu	'gluu												06/Dec/2008						
1009	glùūzʌ̏	=gluuzë	[=gluu' -zë]		uu	CLVV		LJ	adj	прил	<*deep-2>			29/Jan/2009						
1010	glúyāabhɛ̏n	'gluyaamɛ	['glu yaa -mɛ]				Human Condition	LJ, SB	n	сущ				22/Aug/2007						
1011	glɯ́lɯ̏	'glülü	['glü -lü]			CLV	Plant	SB	n	сущ				02/Feb/2011						
1012	glɯ̀ɯ	=glüü'-			ɯɯ	CLVV-LNAF		MG, LJ, SB	v	гл				02/Feb/2011						
1013	glɯ́ɯzʌ̏	'glüüzë				CLVV								22/Aug/2007						
1014	gȍ	-go				CV-AF		DJ, LJ	v	гл				22/Jan/2011						
1015	gó	'go				CV-H			v	гл	<*go away (to)>			02/Feb/2011	go.away	s'en.aller	уходить			
1016	gȍo	-goo			oo			GA, GD, LJ	n	сущ				02/Feb/2011						
1017	gòȍ	=goo-			oo		Human Occupation	EF, LJ	n	сущ										
1018	gōo	goo			oo		Natural Place	MB, MG, LJ, GJ, SB	n	сущ	<*hill-2>									
1019	gōo	goo-			oo		Insect	EF, DJ, LJ	n	сущ	<*cockroach-2>			07/Oct/2008						
1020	góo	'goo			oo		Bird	MB, LJ	n	сущ				06/Dec/2008						
1021	góô	'goo-			oo				n	сущ				07/Oct/2008						
1022	góo dhòo dɔ̏ɔ	'goo =dhoo -dɔɔ			ɔɔ		Bird	LP	n	сущ				14/Dec/2008						
1023	gɔ̏	-gɔ					Living Part	MG, LJ, GA, GJ, DJ, CE	n	сущ	<*head-1>			02/Feb/2011	head	tête	голова			
1024	gɔ̏	-gɔ						MG, LJ, GA, GJ, DJ, CE	pp	пл				29/Nov/2008	PP	PP	PP			
1025	gɔ̏	-gɔ						MG, LJ, GA, GJ, DJ, CE	pp	пл				25/Jul/2008	POSS.LOC	POSS.LOC	POSS.LOC	cоедини\тельный элеме\нт в посесси\вной именно\й гру\ппе (для имён с локати\вной сема\нтикой, сре\дств передвиже\ния)	possessive particle for locative nouns	
1026	gɔ̄	gɔ					Artifact Object Vehicle	EF, LJ	n	сущ	<*boat-5>			07/Oct/2008						
1027	gɔ́	'gɔ					Human Occupation Social Condition	LJ	n	сущ				02/Feb/2011						
1028	gɔ́	'gɔ					Plant	LJ	n	сущ				29/Nov/2008						
1029	gɔ	gɔ-					Natural Object Comestible	EF, LJ, SB, CE	n	сущ	<*cola nut>			02/Feb/2011						
1030	gɔ́bhȁn	'gɔma	['gɔ -ma]				Bird	DJ, LJ	n	сущ				22/Aug/2007						
1031	gɔ̏bhɛ̏n	-gɔmɛ	[-gɔ -mɛ]				Human	LJ, BE, GJ	n	сущ	<tete-personne>?	<ãîëîâà-÷åëîâåê>??		07/Oct/2008						
1032	gɔ̄bhìʌ̄n	gɔmië	[gɔ =mië']		iʌ		Artifact Object Vehicle	LJ, DJ, GJ	n	сущ				07/Oct/2008						
1033	gɔ̏dhíɤbhɛ̏n	-gɔdhiömɛ	[-gɔ 'dhiö -mɛ]				Human	LJ	n	сущ				07/Oct/2008						
1034	gɔ̏gā	-gɔga	[-gɔ -ga]				Living Part	LJ, DJ	n	сущ				03/Dec/2008						
1035	gɔ̏gȁgɯ́dhɛ̏	-gɔgagüdhɛ	[-gɔ -ga 'gü -dhɛ]					LJ	n	сущ				22/Aug/2007						
1036	gɔ̏n	-gɔn				CV-AF		LJ	v	гл				02/Feb/2011						
1037	gɔ̏n	-gɔn			ɔ̰ɔ̰ ~ ɔ̰		BoundedEvent Agentive Physical Purpose	LJ	n	сущ				02/Feb/2011						
1038	gɔ̀n	=gɔn					KinTerm	EF, BE, LJ	n	сущ				02/Feb/2011	husband	mari	муж			
1039	gɔ̄n	gɔn					Relation	DJ, LJ	adj	прил				02/Feb/2011				присоединя\ется к назва\ниям живо\тных		
1040	gɔ̄ŋgɔ̄ŋ	gɔnggɔng	[gɔng gɔng]				Artifact Object	DJ, LJ	n	сущ	<*bell-2>			02/Feb/2011						
1041	gɔ́ɔ	'gɔɔ			ɔɔ			LP	n	сущ				14/Dec/2008						
1042	gɔ́ɔ̏	'gɔɔ-			ɔɔ		Animal		n	сущ	<*leopard>			02/Feb/2011						
1043	gɔ́ɔ̏	'gɔɔ-			ɔɔ			MG, LJ	n	сущ				02/Feb/2011				при образовании сложных числительных	in complex numerals	
1044	gɔ̄ɔ̏bhɛ̏dhēn	gɔɔnmɛdhe	[gɔɔn- -mɛ dhe]				Human	MG, LJ	n	сущ				02/Feb/2011						
1045	gɔ̀ɔbhɛ̏n	=gɔɔnmɛ	[=gɔɔn -mɛ]				Human	LJ	n	сущ				22/Aug/2007						
1046	gɔ̏ɔn	-gɔɔn												02/Feb/2011						
1047	gɔ̀ɔn	=gɔɔn				CVV-LL	BoundedEvent Agentive Physical Purpose	MG, LJ	v	гл				22/Jan/2011						
1048	gɔ̀ɔ̄n	=gɔɔn'			ɔ̰ɔ̰		Artifact Object Instrument	DJ	n	сущ										
1049	gɔ̄ɔ̏n	gɔɔn-			ɔ̰ɔ̰		Human	MG, DJ, BE, CE, LJ	n	сущ	<*male, man-1>			02/Feb/2011	man(male)	homme(mâle)	мужчина			
1050	gɔ̄ɔ̏ndʌ̄	gɔɔndë	[gɔɔn- dë]				Human	SB, RC, LJ	n	сущ	<man-father>	<мужчина-отец>	<homme-père>	02/Feb/2011						
1051	gɔ̄ɔ̏ndē	gɔɔnde	[gɔɔn- de]				Human Time	LJ	n	сущ				02/Feb/2011						
1052	gɔ̄ɔ̏ngbóȍ	gɔɔngboo	[gɔɔn- 'gboo-]				Human Time	MG, LJ	n	сущ				02/Feb/2011						
1053	gɔ̄ɔ̏nklɤ̀ɤ	gɔɔnklöö	[gɔɔn- =klöö]				Human Time	DJ, LJ	n	сущ				02/Feb/2011						
1054	gɔ́ɔnyùā	'gɔɔnyua	['gɔɔn =yua']		ɔ̰ɔ̰			LJ	n	сущ				02/Feb/2011						
1055	gɔ̄ɔpʌ̏	gɔɔpë	[gɔɔ -pë]		ɔɔ		Relation Communication Purpose Possession Social	LJ	n	сущ				29/Nov/2008						
1056	gɔ̏pʌ̏	-gɔpë	[-gɔ -pë]				Relation Possession Social	DJ, LJ	n	сущ				07/Oct/2008						
1057	gɔ́ugɔ̏	'gɔugɔ	['gɔu -gɔ]					LJ	adj	прил				02/Feb/2011						
1058	gɔ́ugɔ̏	'gɔugɔ	['gɔu -gɔ]					LJ, OD	n	сущ				23/Feb/2010						
1059	gɔ̀ɯ̄	=gɔü'			ɔɯ									02/Feb/2011						
1060	gɤ́ŋ̏	'göng-					Human Part	MB	n	сущ				02/Feb/2011						
1061	gɤ̀ɤ̏	=göö-			ɤɤ				n	сущ	<*iroko>			29/Nov/2008	iroko	iroko	ироко			
1062	gū	gu					Animal	SB	n	сущ										
1063	gú	'gu					Living Part	MG, BE, LJ, GA	n	сущ	<*stomach, belly-1>			02/Feb/2011	belly	stomach	живот			
1064	gȕa	-gua			ua				n	сущ										
1065	gùʌ̄	=guë'			uʌ				n	сущ				07/Jan/2009						
1066	gúɛdúkpȍ	'guɛdukpo	['guɛ 'du -kpo]		uɛ		Reptile	YA, SE	n	сущ				29/Nov/2008						
1067	gúɛfīʌn	'guɛfiën	['guɛ fiën]				Reptile	YA, SE	n	сущ				29/Nov/2008						
1068	gúgbɔ̄	'gugbɔ	['gu gbɔ]				Living Part	BE, GA, LJ	n	сущ				29/Nov/2008						
1069	gúlɤ̀tȁ	'gulöta	['gu =lö -ta]				State Condition Manner Physical Medicine	LJ	n	сущ				22/Aug/2007						
1070	gȕŋ	-gunng			ṵṵ ~ ṵŋ			MB, LJ	n	сущ				29/Nov/2008						
1071	gùŋzȉʌ	=gungzië	[=gung -zië -mɛ]		iʌ		Human		n	сущ	<*albinos-2>			02/Feb/2011						
1072	gȕɤ	-guö			uɤ		Natural	BE, MG, LJ, DJ, GJ, CE	n	сущ	<*stone-1>			02/Feb/2011						
1073	gùɤ̄	=guö'			uɤ		Reptile	GJ; LJ -- wo	n	сущ				02/Feb/2011						
1074	gȕɤgā	-guöga	[-guö ga]				Natural	BE, MG, LJ, DJ, GJ	n	сущ				22/Aug/2007						
1075	gȕɤgbɔ̄ŋ	-guögbɔng	[-guö gbɔng]				Natural	MG, LJ, GJ	n	сущ				22/Aug/2007						
1076	gȕɤkpɤ̄	-guökpö	[-guö kpö]				Natural	BE, MG, LJ, DJ	n	сущ				22/Aug/2007						
1077	gȕɤpúuyí	-guöpuuyi	[-guö 'puu 'yi]					BE, LJ	n	сущ				02/Feb/2011						
1078	gúu	'guu			uu		Plant	SB	n	сущ										
1079	gúudʌ̄	'guudë	['guu dë]		uu		Reptile	LJ, DJ	n	сущ				07/Oct/2008	chameleon	caméléon	хамелеон			
1080	gùun	=guun			ṵṵ		Natural	LJ	n	сущ				02/Feb/2011						
1081	gúun	'guun			ṵṵ ~ ṵ			DJ, --LJ	n	сущ				09/Jan/2009						
1082	gɯ́	'gü							pp	пл				02/Feb/2011	in	dans	в			
1083	gɯ́	'gü						MG, LJ, DJ, GJ	n	сущ	<*stomach, belly-4>			07/Oct/2008	inside	intérieur	нутро			
1084	gɯ́ʌ	'güë	['güë ga]		ɯʌ		Artifact Instrument Music	BE, LJ	n	сущ				02/Feb/2011						
1085	gɯ́ʌŋgɯ̏ʌŋ	'güënggüëng	['güëng -güëng]		ɯʌŋ			MB, LJ	adj	прил				27/Feb/2010						
1086	gɯ́-dān	'gü dan						LJ	v	гл				22/Jan/2011						
1087	gɯ́-gā	'gü ga						LJ	v	гл				22/Jan/2011						
1088	gɯ́gādhe	'gügadhe	['gü ga dhe]				Property Physical Modal	LJ, GJ	n	сущ				29/Nov/2008						
1089	gɯ́glȕdhē	'gügludhe	['gü -glu dhe]				BoundedEvent Communication	LJ	n	сущ				29/Nov/2008						
1090	gɯ̀ŋ̄	=güng'						LJ	n	сущ										
1091	gɯ̀ŋ̄zʌ̏	=güngzë	[=güng' -zë]						adj	прил				02/Feb/2011						
1092	gɯ́ɤ	'güö			ɯɤ	CVV-HH		BE, MG, LJ, DJ	v	гл	<*burn-3>			22/Jan/2011						
1093	gɯ́-sìɤ	'gü =siö'						LJ	v	гл				02/Feb/2011						
1094	gɯ́sìɤbhɛ̄n	'güsiömɛ	['gü =siö'- mɛ]					LJ	n					08/Nov/2008						
1095	gɯ́sìɤdhē	'güsiödhe	['gü =siö'- dhe]				Static Existence Physical	LJ	n	сущ				29/Nov/2008						
1096	gɯ́sìɤsɯ̏	'güsiösü	['gü =siö'- -sü]				Static Existence Physical	LJ	n	сущ				29/Nov/2008						
1097	gɯ́ɯzʌ̏	'güüzë	['güü -zë]		ɯɯ		Property Physical	LJ	adj	прил				30/Jan/2009						
1098	gbȁ	-gba					Animal	EF, LJ, MB	n	сущ	<*duiker>			02/Feb/2011						
1099	gbà	=gba						DJ, --LJ	n	сущ	<*roof-2>			02/Feb/2011						
1100	gbà	=gba					Artifact Object Furniture	DJ, LJ	n	сущ	<*bed-2>			02/Feb/2011						
1101	gbā	gba						EF	n	сущ	<*bat-4>			11/Jul/2008	squirrel(sp.)	écureuil(esp.)	белка(вид)			
1102	gbā	gba				CV-M			v	гл				02/Feb/2011						
1103	gbā	gba						LJ	n	сущ				02/Feb/2011						
1104	gbá	'gba						EF, GA, MA, LJ						22/Aug/2007						
1105	gba	gba-					Natural	MB, LJ	n	сущ				12/Feb/2010						
1106	gbȁa	-gbaa			aa			DJ, LJ	n	сущ				29/Nov/2008						
1107	gbȁa	-gbaa			aa		Reptile	SB, LJ	n	сущ	<*cobra (Naja negricoles)>			29/Nov/2008	cobre	naja	кобра			
1108	gbàā	=gbaa'			aa		Magics	DJ, KB, LJ	n	сущ				03/Feb/2011						
1109	gbāa	gbaa			aa	CVV-MM	BoundedEvent Agentive Possession Purpose	MG, LJ	v	гл	<*give (to)-2>			03/Feb/2011	give	donner	давать			
1110	gbāa	gbaa			aa		Reptile	GJ	n	сущ				02/Feb/2011						
1111	gbáa	'gbaa			aa			LJ	n	сущ				29/Nov/2008						
1112	gbàabóŋ	=gbaabong	[=gbaa 'bong]		aa		Artifact Object Building	MG	n	сущ	<jula>			03/Feb/2011						
1113	gbàādhūn	=gbaannu	[=gbaan' nu]		a̰a̰	nuCVV			v	гл				22/Jan/2011	stop	s'arrêter	останавливаться			
1114	gbàāgā	=gbaaga	[=gbaa' ga]				Magics	DJ, KB, LJ	n	сущ				03/Feb/2011						
1115	gbāȁn	gbaan-						LJ						05/Feb/2011						
1116	gbàāzɔ̀ŋ̄	=gbaazɔng	[=gbaa' =zɔng']		aa		State Condition Manner Physical Medicine	DJ, LJ	n	сущ				03/Feb/2011						
1117	gbȁbhɯɤ	-gbabhüö	[-gba -bhüö]					LJ	n	сущ				02/Feb/2011						
1118	gbȁdhɛn	-gbandhɛ	[-gban -dhɛ]				Natural	GA, MA, LJ	n	сущ				05/Feb/2011						
1119	gbágɛ̀īnpʌ̏	'gbagɛinpë	['gba =gɛin' -pë]		ɛ̰ḭ		Living Part	GA, KD	n	сущ				02/Feb/2011						
1120	gbāklɯ̄dʌ̄	gbaklüdë	[gba klü dë]				Animal		n	сущ				09/Jan/2009						
1121	gbȁn	-gban				CV-AF			v	гл				05/Feb/2011	drive.in	enfoncer	втыкать			
1122	gbàn	=gban						LJ	n	сущ				08/Oct/2008						
1123	gbān	gban					Human Part	EF, MG, LJ	n	сущ	<*shoulder-2>			05/Feb/2011				о\чень ча\сто употребля\ется в фо\рме ед.ч. в значе\нии дво\йственного или  мн.ч., кро\ме слу\чаев, когда\ коли\чественное противопоставле\ние необходи\мо подчеркну\ть	very often used in sing. form in dual or plural meaning, except in the cases where it is necessary to emphasize the quantitative semantic opposition	
1124	gbán	'gban					Human Part	MG, LJ, GA	n	сущ	<*thigh>			05/Feb/2011						
1125	gban	gban-						EF	n	сущ				08/Oct/2008						
1126	gban	gban-						LJ	n	сущ				23/Jan/2011						
1127	gbántȁ	'gbanta	['gban -ta]				Human Part	GA, MA	n	сущ				05/Feb/2011						
1128	gbāntʌ́ʌ	gbantëë	[gban 'tëë]				Living Part	GA, KD	n	сущ				05/Feb/2011						
1129	gbȁntȉa	-gbantia	[-gban -tia]				Artifact Object	LJ	n	сущ				05/Feb/2011						
1130	gbánzlɤ̀ɤdhɛ̏	'gbanzlöödhɛ	['gban =zlöö -dhɛ]				Living Part	GA, MA	n	сущ				05/Feb/2011						
1131	gbáŋklú	'gbanngklu	['gbanng 'klu]				Artifact Object Instrument	GJ	n	сущ				05/Feb/2011						
1132	gbāŋkɔ́	gbangkɔ	[gbang -kɔ]				Artifact Object Building	LJ	n	сущ				05/Feb/2011						
1133	gbāpʌ̏	gbapë	[gba -pë]					DJ, LJ	n	сущ	<adorer-chose>			06/Dec/2008						
1134	gbȁvían	-gbavian	[-gba 'vian]		ḭa̰			LJ	n	сущ				02/Feb/2011						
1135	gbɒ̄ɒ	gbaɔ			ɒɒ				n	сущ				23/Jan/2011						
1136	gbɒ̀ɒn	=gbaɔn			ɒ̰ɒ̰	CVV-LL		LJ	v	гл				05/Feb/2011						
1137	gbɒ̀ɒnsɯ̏	=gbaɔnsü	[-gbaɔn -sü]					RC1, SB, --LJ	adv	нар				05/Feb/2011						
1138	gbɒ̄ɒpʌ̏	gbaɔpë	[gbaɔ -pë]				Relation Communication Purpose Possession Social	LJ	n	сущ				22/Aug/2007						
1139	gbǣæ̏	gbɛa-			ɛa		Reptile	BE, GA, MA, DJ, LJ	n	сущ				08/Oct/2008						
1140	gbǣæ̏	gbɛa-			ɛa		Artifact Object	LJ, EF	n	сущ				08/Oct/2008						
1141	gbæ̀æn	=gbɛan-			ɛ̰a̰		Artifact Object Instrument	LJ	n	сущ				08/Oct/2008						
1142	gbʌ́	'gbë					Living Part	EF, GA, MA, LJ	n	сущ				08/Oct/2008				очень часто употребляется в форме ед.ч. в значении двойственного, кроме случаев, когда количественное противопоставление необходимо подчеркнуть		
1143	gbʌ̄ŋ̏	gbëng-					Living Part	MB	n	сущ	<*intestin-2>			05/Feb/2011						
1144	gbʌ̄ŋ̏bhɯɤ	gbëngbhüö	[gbëng- -bhüö]				Living Part	LJ, GA, MA, KD	n	сущ				09/Feb/2011						
1145	gbʌ̄ŋ̏gā	gbëngga	[gbëng- ga]				Living Part	LJ, GA	n	сущ				05/Feb/2011						
1146	gbʌ́ŋgbʌ̏ŋ	'gbënggbëng	['gbëng -gbëng]					LJ	adj	прил				30/Jan/2009						
1147	gbʌ̏ɯ	-gbëü			ʌɯ		Insect	CE, LJ	n	сущ										
1148	gbʌ̀ɯ	=gbëü			ʌɯ		Artifact Object Container	DJ, GJ, SB, LJ	n	сущ				29/Nov/2008						
1149	gbʌ̏ɯgbʌ̏ɯ	-gbëügbëü	[-gbëü -gbëü]		ʌɯ		Artifact Object	LJ	n	сущ				22/Aug/2007						
1150	gbēdhēnkȕn	gbenekun	[gbe ne -kun]				Insect	LJ, GJ	n	сущ				09/Feb/2011						
1151	gbédhiɤbɔ̄pʌ̏	'gbedhiöbɔpë	['gbe 'dhiö bɔ -pë]				Artifact Object Instrument	GJ	n	сущ				05/Feb/2011						
1152	gbéȅ	'gbee-			ee			MG, LJ, DJ, GJ, CE	adj	прил	<*difficult>			09/Feb/2011						
1153	gbéegbȅ	'gbeegbe	['gbee -gbe]					GJ, LJ	adj	прил				03/Dec/2008						
1154	gbéêzʌ̏	'gbeezë	['gbee- -zë]					DJ, LJ	adj	прил				30/Jan/2009						
1155	gbèī	=gbei'			ei		Artifact Object	GJ, SB	n	сущ										
1156	gbȅŋ	-gbeng					Animal	LJ	n	сущ	<*squirrel-3>			09/Feb/2011						
1157	gbēŋ	gbeng			eiŋ ~ eŋ		BoundedEvent Time	LJ	n	сущ	<*night-2>			09/Feb/2011						
1158	gbēŋbhɛ̏ɛ	gbengmɛɛ	[gbeng -mɛɛ]				Reptile	YA, SE	n	сущ				09/Feb/2011						
1159	gbēŋgbànlɯ̏	gbenggbanlü	[gbeng =gban -lü]					LJ	n	сущ				09/Feb/2011						
1160	gbēŋgbēŋ	gbenggbeng	[gbeng gbeng]					MG, LJ, GJ	n	сущ				09/Feb/2011						
1161	gbɛ̄	gbɛ						BE, DJ, GJ, SB, LJ	adj	прил				30/Jan/2009						
1162	gbɛ́a	'gbɛa			ɛa ~ ia		Artifact Object	MB, LJ	n	сущ				23/Jan/2011						
